Year,Region,Index,Source,CO2eq,Unit
1993,Newfoundland and Labrador,418,Provincial Inventory Total,8.58,Mt
1993,Newfoundland and Labrador,419,Oil and Gas,1.06,Mt
1993,Newfoundland and Labrador,420,Electricity,1.37,Mt
1993,Newfoundland and Labrador,421,Transport,2.9,Mt
1993,Newfoundland and Labrador,422,Heavy Industry,1.19,Mt
1993,Newfoundland and Labrador,423,Buildings,1.04,Mt
1993,Newfoundland and Labrador,424,Agriculture,0.11,Mt
1993,Newfoundland and Labrador,425,Waste,0.75,Mt
1993,Newfoundland and Labrador,426,"Light Manufacturing, Construction and Forest Resources",0.17,Mt
1993,Northwest Territories and Nunavut,427,Territorial Inventory Total,1.88,Mt
1993,Northwest Territories and Nunavut,428,Oil and Gas,0.24,Mt
1993,Northwest Territories and Nunavut,429,Electricity,0.14,Mt
1993,Northwest Territories and Nunavut,430,Transport,0.63,Mt
1993,Northwest Territories and Nunavut,431,Heavy Industry,0.14,Mt
1993,Northwest Territories and Nunavut,432,Buildings,0.64,Mt
1993,Northwest Territories and Nunavut,433,Agriculture,0,Mt
1993,Northwest Territories and Nunavut,434,Waste,0.05,Mt
1993,Northwest Territories and Nunavut,435,"Light Manufacturing, Construction and Forest Resources",0.03,Mt
1993,Nova Scotia,436,Provincial Inventory Total,19.62,Mt
1993,Nova Scotia,437,Oil and Gas,0.9,Mt
1993,Nova Scotia,438,Electricity,7.43,Mt
1993,Nova Scotia,439,Transport,4.32,Mt
1993,Nova Scotia,440,Heavy Industry,0.78,Mt
1993,Nova Scotia,441,Buildings,2.82,Mt
1993,Nova Scotia,442,Agriculture,0.64,Mt
1993,Nova Scotia,443,Waste,0.96,Mt
1993,Nova Scotia,444,Coal Production,1.41,Mt
1993,Nova Scotia,445,"Light Manufacturing, Construction and Forest Resources",0.36,Mt
1993,Ontario,446,Provincial Inventory Total,172.7,Mt
1993,Ontario,447,Oil and Gas,11.49,Mt
1993,Ontario,448,Electricity,17.93,Mt
1993,Ontario,449,Transport,40.15,Mt
1993,Ontario,450,Heavy Industry,41.76,Mt
1993,Ontario,451,Buildings,30.34,Mt
1993,Ontario,452,Agriculture,11.72,Mt
1993,Ontario,453,Waste,8.3,Mt
1993,Ontario,454,"Light Manufacturing, Construction and Forest Resources",11.01,Mt
1993,Prince Edward Island,455,Provincial Inventory Total,1.73,Mt
1993,Prince Edward Island,456,Oil and Gas,0,Mt
1993,Prince Edward Island,457,Electricity,0.07,Mt
1993,Prince Edward Island,458,Transport,0.55,Mt
1993,Prince Edward Island,459,Heavy Industry,0,Mt
1993,Prince Edward Island,460,Buildings,0.53,Mt
1993,Prince Edward Island,461,Agriculture,0.37,Mt
1993,Prince Edward Island,462,Waste,0.1,Mt
1993,Prince Edward Island,463,"Light Manufacturing, Construction and Forest Resources",0.11,Mt
1993,Quebec,464,Provincial Inventory Total,81.36,Mt
1993,Quebec,465,Oil and Gas,3.64,Mt
1993,Quebec,466,Electricity,0.29,Mt
1993,Quebec,467,Transport,23.81,Mt
1993,Quebec,468,Heavy Industry,24.03,Mt
1993,Quebec,469,Buildings,11.94,Mt
1993,Quebec,470,Agriculture,7.79,Mt
1993,Quebec,471,Waste,5.3,Mt
1993,Quebec,472,"Light Manufacturing, Construction and Forest Resources",4.56,Mt
1993,Saskatchewan,473,Provincial Inventory Total,55.34,Mt
1993,Saskatchewan,474,Oil and Gas,19.35,Mt
1993,Saskatchewan,475,Electricity,13.03,Mt
1993,Saskatchewan,476,Transport,5.49,Mt
1993,Saskatchewan,477,Heavy Industry,2.24,Mt
1993,Saskatchewan,478,Buildings,3.54,Mt
1993,Saskatchewan,479,Agriculture,10,Mt
1993,Saskatchewan,480,Waste,1.14,Mt
1993,Saskatchewan,481,Coal Production,0.04,Mt
1993,Saskatchewan,482,"Light Manufacturing, Construction and Forest Resources",0.51,Mt
1993,Yukon,483,Territorial Inventory Total,0.52,Mt
1993,Yukon,484,Oil and Gas,0.08,Mt
1993,Yukon,485,Electricity,0.03,Mt
1993,Yukon,486,Transport,0.25,Mt
1993,Yukon,487,Heavy Industry,0.01,Mt
1993,Yukon,488,Buildings,0.1,Mt
1993,Yukon,489,Agriculture,0.01,Mt
1993,Yukon,490,Waste,0.03,Mt
1993,Yukon,491,"Light Manufacturing, Construction and Forest Resources",0.01,Mt
